"Category","Trigger","XP_amount","Full_screen_modal_CelebrationHost","Primary_SFX","Secondary_SFX","Dex_face_state","Dex_vocal_mapping","Other_on_screen_UI","Notes","Primary_code_reference"
"Meta","Last reviewed: 2026-03-28 - all SoundManager keys wired; Dex vocals: dex_approval | dex_concern | dex_surprise","","","","","","","","Technical matrix: XP, modals, SFX, Dex. For copy + tone review see docs/player_experience_review_matrix.csv. Sources: GameContext, CelebrationHost, PaymentSuccessEffects, SoundManager.","docs/game_rewards_matrix.csv"
"XP_constants","LOG_PAYMENT (base rule)","50","See First_payment / Normal_payment / Payment_level_up rows","mixed — see payment flow rows","variable_bonus only on ~15% in-app bonus path (PaymentSuccessEffects)","mixed","approval / concern / surprise per Dex state + chart below","PaymentSuccessEffects: XP float; ~15% confetti + BONUS DAY banner + grantBonusXp(50)","First LOG_PAYMENT ever: +100 bonus XP in same awardXp call.","context/GameContext.tsx XP_REWARDS; awardXp"
"XP_constants","PAY_OFF_DEBT","500","debt_cleared (unless level_up branch wins in same awardXp)","debt_paid_off","","celebrating","approval","","DebtClearedOverlay also plays xp_earned (delayed).","context/GameContext.tsx awardXp; components/DebtClearedOverlay.tsx"
"XP_constants","COMPLETE_ONBOARDING","100","level_up only if XP crosses threshold","","level_up if level-up","celebrating if level-up","approval if level-up","","No dedicated onboarding celebration type in GameContext.","context/GameContext.tsx awardXp"
"XP_constants","HIT_MILESTONE","200","level_up only if XP crosses threshold","","level_up if level-up","celebrating if level-up","approval if level-up","","No milestone-specific modal from awardXp alone.","context/GameContext.tsx awardXp"
"XP_constants","DAILY_STREAK (streak math in recordPaymentForStreak)","25","bundled with Streak_* rows","streak_maintained OR milestone OR level_up","","per Streak_* rows","","","Not invoked as awardXp(""DAILY_STREAK""); applied inside recordPaymentForStreak.","context/GameContext.tsx recordPaymentForStreak"
"XP_constants","DAILY_SAVING","20","level_up only if threshold crossed","","level_up if level-up","celebrating if level-up","approval if level-up","","","components/DailyActionList.tsx"
"XP_constants","NO_SPEND","15","level_up only if threshold crossed","","level_up if level-up","celebrating if level-up","approval if level-up","","","components/DailyActionList.tsx"
"XP_constants","SOCIAL_SHARE","10","level_up only if threshold crossed","","level_up if level-up","celebrating if level-up","approval if level-up","","","components/DailyActionList.tsx"
"XP_constants","BONUS_CHECK","10","level_up only if threshold crossed","","level_up if level-up","celebrating if level-up","approval if level-up","","Bonus checklist in Daily actions.","components/DailyActionList.tsx"
"First_payment","LOG_PAYMENT when firstPaymentCelebrated is false","50 + 100 = 150","first_payment","milestone","","celebrating","approval","","FirstPaymentCelebration UI; bonus XP copy.","context/GameContext.tsx awardXp"
"Normal_payment","LOG_PAYMENT after first payment; no level-up from this award","50","none from awardXp","payment_logged (awardXp branch) AND payment_logged again from plan/debt onSuccessAfterSheetClosed — same event may feel layered","","happy","approval","","Plan/Calendar/Debt: success handler always plays payment_logged; awardXp also plays it for LOG_PAYMENT — expect overlap on those flows.","context/GameContext.tsx awardXp; app/(tabs)/plan.tsx; app/debt/[id].tsx"
"Payment_level_up","LOG_PAYMENT causes new level from this award alone","50","level_up","level_up","","celebrating","approval","","Beats Normal_payment branch.","context/GameContext.tsx awardXp"
"Debt_cleared_from_award","PAY_OFF_DEBT","500","debt_cleared","debt_paid_off","","celebrating","approval","","","context/GameContext.tsx awardXp"
"grantBonusXp","Positive amount via grantBonusXp (+10 +50 +200 etc.)","amount","level_up if threshold crossed","level_up if level-up","celebrating if level-up","approval if level-up","","addXpInternal; no modal if no level-up.","context/GameContext.tsx grantBonusXp; addXpInternal"
"Streak_record","recordPaymentForStreak: streak up; no streak milestone; no level-up from streak XP","+25 (DAILY_STREAK slice)","none","streak_maintained","","none from triggerDex","","","Runs after payments and logDailyAction.","context/GameContext.tsx recordPaymentForStreak"
"Streak_milestone","Streak day 3/7/14/30/60/100 first time","+25 + STREAK_MILESTONES (75/150/300/500/750/1000)","streak_milestone","milestone","","celebrating","approval","","STREAK_MILESTONE_MESSAGES in GameContext.","context/GameContext.tsx recordPaymentForStreak"
"Streak_level_up","Streak path causes level-up without streak_milestone modal","25 + milestone if any","level_up","level_up","","celebrating","approval","","Else-if after milestone check.","context/GameContext.tsx recordPaymentForStreak"
"Payment_flow_plan","Plan tab month row — log payment","LOG_PAYMENT + recordPaymentForStreak + grantBonusXp(10) + optional HIT_MILESTONE","mixed","onSuccessAfterSheetClosed: payment_logged; if milestoneHit +200ms milestone | if ~15% bonus: variable_bonus (PaymentSuccessEffects) before grantBonus 50","","onDex: surprised→celebrating OR happy","approval per Dex state","PaymentEffectsOverlay","See Bonus_day_UI row for random bonus.","app/(tabs)/plan.tsx; PaymentSuccessEffects.tsx"
"Payment_flow_calendar","Calendar modal — mark paid","same as plan","mixed","same SFX pattern as plan","","same","","","","app/(tabs)/plan.tsx"
"Payment_flow_debt_detail","Debt detail Mark paid","+ optional PAY_OFF_DEBT","mixed","payment_logged; milestone if goal hit; debt_paid_off if payoff in awardXp | bonus: variable_bonus","","payoff: celebrating 5s; bonus: surprised→celebrating","","","","app/debt/[id].tsx"
"Bonus_day_UI","PaymentSuccessEffects runPayment ~15% isBonus","grantBonusXp(50) via onBonus; XP float shows 100","none unless level-up from grant","variable_bonus (when isBonus, same timer block as banner)","","surprised 450ms → celebrating 3s if isBonus (plan/debt onDex)","approval / surprise vocals per Dex","Confetti + BONUS DAY banner","Banner text says 2× / 100 XP; grantBonusXp is +50.","components/PaymentSuccessEffects.tsx; plan.tsx; debt/[id].tsx"
"SFX_notification_tap","User opens app from push: interest_saved_weekly","0","none","interest_saved","","","","","Fires in notification response listener (tap).","app/_layout.tsx addNotificationResponseReceivedListener"
"SFX_notification_tap","User opens app from push: variable_bonus (scheduled 8th/22nd)","0","none","variable_bonus","","","","","Fires on tap; separate from in-app random bonus.","app/_layout.tsx; context/DesignBriefNotificationsContext.tsx schedules"
"SFX_app_hydrate","Game state load: last payment 2 days ago + grace still available","0","none","streak_at_risk","","","","","Per cold load / hydrate when setGracePeriodActive(true).","context/GameContext.tsx useEffect load GAME_STATE_KEY"
"logDailyAction","DailyActionList — recordPaymentForStreak","0 XP from logDailyAction alone","streak paths","per Streak_*","","per Streak_*","","","Tapping an action also calls awardXp(type) first — see DailyActionList.","context/GameContext.tsx logDailyAction; DailyActionList.tsx"
"Onboarding_day1_complete","handleDay1Complete","grantBonusXp(200) + recordPaymentForStreak","level_up if threshold","per grantBonusXp","triggerDex celebrating","celebrating","approval","","router → day-complete.","app/onboarding.tsx handleDay1Complete"
"Onboarding_commit_streak","handleCommitStreak","grantBonusXp(150|300|500|750 for 7|14|30|60)","delayed level_up overlay","per grantBonusXp","triggerDex celebrating","celebrating","approval","","setTimeout level_up 8000ms.","app/onboarding.tsx handleCommitStreak"
"Onboarding_debt_celebration","Debt entry bubble celebration","grantBonusXp(50)","per grantBonusXp","per grantBonusXp","","","","XP toast in onboarding.","app/onboarding.tsx ~1579"
"Onboarding_day1_tasks","Day1 TASK_XP_D1 indices 0..3","25;25;50;0","per grantBonusXp","per grantBonusXp","","Dex status DEX_REACTIONS only","","","Index 3 grants 0 XP in code.","app/onboarding.tsx TASK_XP_D1; handleTaskPress"
"Shield_purchase","buyStreakShield success","-500 XP; streakShield true","none","level_up.wav reused","triggerDexWithMessage celebrating","celebrating","approval","","","context/GameContext.tsx buyStreakShield"
"Shield_insufficient_XP","buyStreakShield totalXp < 500","0","none","none","worried + message","concern","","","","context/GameContext.tsx buyStreakShield"
"DexCard_mount","Home DexCard mount","0","none","none (Dex vocals only if triggerDex)","sleeping | encouraging | celebrating | happy","approval if happy/celebrating","","","Based on days away + streak.","components/DexCard.tsx"
"DexCard_celebration","celebration.type level_up | debt_cleared","0","none","none","celebrating 4s","approval","","","useEffect on celebration.type.","components/DexCard.tsx"
"SFX_key","payment_logged — Sucess.wav","","","","","","","","awardXp LOG non-first; plan/debt onSuccessAfterSheetClosed","context/GameContext.tsx; plan.tsx; debt/[id].tsx"
"SFX_key","xp_earned.wav","","","","","","","","DebtClearedOverlay delayed","components/DebtClearedOverlay.tsx"
"SFX_key","streak_maintained.wav","","","","","","","","recordPaymentForStreak no milestone no level-up","context/GameContext.tsx"
"SFX_key","level_up.wav","","","","","","","","addXpInternal level-up; awardXp level-up paths; streak level-up path; buyStreakShield","context/GameContext.tsx"
"SFX_key","milestone.wav","","","","","","","","first payment; streak milestone; plan/debt goal milestoneHit +200ms","context/GameContext.tsx; plan.tsx; debt/[id].tsx"
"SFX_key","streak_at_risk.wav","","","","","","","","grace window on hydrate","context/GameContext.tsx"
"SFX_key","variable_bonus.wav","","","","","","","","in-app 15% bonus block; notification tap variable_bonus","PaymentSuccessEffects.tsx; app/_layout.tsx"
"SFX_key","interest_saved.wav","","","","","","","","notification tap interest_saved_weekly","app/_layout.tsx"
"SFX_key","debt_paid_off.wav","","","","","","","","awardXp PAY_OFF_DEBT","context/GameContext.tsx"
"SFX_key","dex_approval | dex_concern | dex_surprise","","","","","","","","playDexVocal when triggerDex / triggerDexWithMessage maps state","context/GameContext.tsx triggerDex*"
