"Doc","player_experience_review_matrix.csv","Open in Excel / Google Sheets. UTF-8. Quote marks in cells are doubled per CSV rules."
"Purpose","Product + copy review","Aligns user-facing messages, XP numbers shown vs granted, sounds, haptics, and Dex feedback so the app feels consistent and review-worthy."
"Companion","docs/game_rewards_matrix.csv","Technical wiring (code paths, overlap notes)."
"Last_updated","2026-03-28","Re-verify after changing GameContext.tsx, CelebrationHost children, PaymentSuccessEffects, or onboarding task XP."

"Section","Action_ID","User_trigger","XP_code_truth","UI_shows_XP_or_copy","Headline_or_title","Body_subcopy_or_toast","Sound_primary","Sound_secondary","Dex_state","Dex_vocal","Haptics","Modal_or_overlay","Consistency_review_notes","Source_files"
"Core_XP","LOG_PAYMENT_first","First logged payment ever","50 + 100 bonus = 150 total","FirstPaymentCelebration pill: +100 Bonus XP (base 50 not on card)","First Step Taken!","Amazing! You just took your first step toward debt freedom! Keep going!","milestone","","celebrating","approval","none in GameContext; plan/debt use Success","FirstPaymentCelebration full-screen","Modal says +100 only; total award is 150 - consider saying +150 or 50+100 breakdown","GameContext awardXp; FirstPaymentCelebration.tsx"
"Core_XP","LOG_PAYMENT_normal","Log payment after first","50","PaymentSuccessEffects float often shows 50; bonus path shows 100","(no modal)","Floating +XP near Dex","payment_logged","variable_bonus if ~15% bonus","happy","approval","Success on plan/debt close","PaymentEffectsOverlay optional","payment_logged may double with plan/debt handler - known overlap","GameContext; plan.tsx; debt/[id].tsx; PaymentSuccessEffects.tsx"
"Core_XP","LOG_PAYMENT_level_up","Payment pushes level","50 (+ bonus if first)","LevelUpOverlay: +N XP - well done!","NICE WORK","Level name + LEVEL_SUB[line] per level","level_up","","celebrating","approval","none in awardXp","LevelUpOverlay","High polish; LEVEL_SUB only defined for levels 2-10 then fallback string","GameContext; LevelUpOverlay.tsx; constants/levelNames"
"Core_XP","PAY_OFF_DEBT","Balance to zero","500","Debt overlay + stats","DEBT FREE","{debtName} is done!","debt_paid_off","xp_earned per stat line","celebrating","approval","Success on debt detail","DebtClearedOverlay","Strong moment; iOS bypasses silent mode for debt_paid_off","GameContext; DebtClearedOverlay.tsx"
"Core_XP","grantBonusXp","Any positive grant","variable","LevelUp if crosses threshold only","NICE WORK (if level up)","same as level-up path","level_up if level up","","celebrating","approval","varies by caller","LevelUpOverlay if threshold","No toast if no level-up - users may miss small grants","GameContext grantBonusXp"
"Streak","daily_streak_tick","recordPaymentForStreak after payment or logDailyAction","+25 DAILY_STREAK slice","Usually not a standalone headline","(none)","Streak count updates","streak_maintained OR milestone OR level_up","","see below","see below","none in recordPaymentForStreak core","none unless milestone/level","Bundled with payment flow","GameContext recordPaymentForStreak"
"Streak","streak_milestone_3","Hit day 3 first time","25 + 75 bonus = 100","Modal: +75 Bonus XP pill","3 Day Streak! (big number + label)","You're building real momentum!","milestone","","celebrating","approval","none","StreakMilestoneCelebration","Message from STREAK_MILESTONE_MESSAGES","GameContext; StreakMilestoneCelebration.tsx"
"Streak","streak_milestone_7","Hit day 7 first time","25 + 150","+150 Bonus XP","7 Day Streak!","One full week - you're unstoppable!","milestone","","celebrating","approval","none","StreakMilestoneCelebration","",""
"Streak","streak_milestone_14","Hit day 14 first time","25 + 300","+300 Bonus XP","14 Day Streak!","Two weeks of dedication. Amazing!","","","","","","","",""
"Streak","streak_milestone_30","Hit day 30 first time","25 + 500","+500 Bonus XP","30 Day Streak!","30 days - a new habit is born!","","","","","","","",""
"Streak","streak_milestone_60","Hit day 60 first time","25 + 750","+750 Bonus XP","60 Day Streak!","Two months! Debt freedom is closer!","","","","","","","",""
"Streak","streak_milestone_100","Hit day 100 first time","25 + 1000","+1000 Bonus XP","100 Day Streak!","100 days! You're a debt-crushing legend!","","","","","","","",""
"Streak_risk","grace_hydrate","Open app; last payment 2+ days ago; grace active","0","none","none","none","streak_at_risk","","none","none","none","none","Emotional nudge without XP","GameContext hydrate"
"Shield","buy_shield_ok","Purchase streak shield","-500 XP","none explicit in overlay","(Dex message path)","Worried Dex if insufficient XP","level_up.wav reused","","celebrating on success","approval","none","none","Sound reuses level_up - intentional?","GameContext buyStreakShield"
"Shield","buy_shield_fail","XP under 500","0","Dex concern copy","none","insufficient XP messaging","none","none","worried","concern","none","none","Clear negative feedback","GameContext buyStreakShield"
"Daily_actions","DAILY_SAVING","Tap Saved $0.50 today","20","Row shows +20 XP","Saved $0.50 today","Complete tasks to earn XP and build your streak!","level_up if levels from award only","none","celebrating if level up","approval if vocal","none","none","awardXp then logDailyAction","DailyActionList.tsx; GameContext"
"Daily_actions","NO_SPEND","Tap credit card abstain","15","+15 XP","Didn't spend on credit cards","","level_up if level up","","celebrating if level up","approval","","","","DailyActionList.tsx"
"Daily_actions","SOCIAL_SHARE","Tap Facebook share","10","+10 XP","Post your success and commitment to Facebook","","level_up if level up","","","","","","","DailyActionList.tsx"
"Daily_actions","BONUS_CHECK","Bonus checklist done/skip","10","+10 XP implied","Rotating bonus text","Alert: Awesome! Please send us feedback...","level_up if level up","","","","","","","Button copy: done I checked / I choose to skip - consider Title Case","DailyActionList.tsx"
"Payment_UI","bonus_day","~15% payments","grantBonusXp(50); float uses 100","Banner: 2x XP earned  100 XP!","BONUS DAY!","2x XP earned  100 XP!","variable_bonus","","surprised then celebrating","surprise then approval","none","confetti + banner","KNOWN: UI says 100 XP and 2x; grant is +50 - align copy or math","PaymentSuccessEffects.tsx"
"Onboarding","day1_task_0_1","Tap task 0 or 1 on CommitScreen","25 each (TASK_XP_D1)","local XP + grantBonusXp","DEX_REACTIONS sequence","YES! One down! / Amazing! Halfway there! / THREE! / ALL DONE!","","level_up if threshold","","","","Medium on task press","Banner when required tasks done; task 2 and 3 complete differently","onboarding CommitScreen"
"Onboarding","day1_task_2_payment","Log each due payment","+10 XP per payment (DAY1_PER_PAYMENT_XP)","+10 XP / pay badge","Payment due soon","All set - you logged a payment for each debt due in this window.","per grantBonusXp","","","","","grantBonusXp(10) each log","onboarding.tsx CommitScreen"
"Onboarding","day1_task_3_relief","Optional relief","0","0 XP","Task 4 optional","","","","","","","","","onboarding.tsx"
"Onboarding","day1_complete","Finish day 1 flow","recordPaymentForStreak only in handler; no grantBonusXp(200) in current handleDay1Complete","docs/MOTIVATION may be stale","router to day-complete","none in handler","none in snippet","","celebrating","approval","Success","none","VERIFY: MOTIVATION_TIERS doc listed +200; code may not grant - reconcile","onboarding handleDay1Complete"
"Onboarding","streak_pledge_UI","Pick 7/14/30/60 commitment","COMMITS_DATA bonusXP shown as future reward","+N bonus XP waiting for you on day {N}!","Pledge titles from COMMITS_DATA","Body paragraphs per tier","","","","","","Heavy haptic on Start Day 2","VERIFY: handleCommitStreak does not call grantBonusXp - bonus may be copy-only until day N logic exists","onboarding StreakGoalScreen; COMMITS_DATA"
"Onboarding","debt_entry_celebration","After saving debt in flow","grantBonusXp(50)","","","","","","","","","","","onboarding ~1579 per game_rewards_matrix"
"Notifications","interest_saved_tap","Open from weekly interest push","0","none","none","none","interest_saved","","none","none","none","none","Sound only on tap","app/_layout.tsx"
"Notifications","variable_bonus_tap","Open from scheduled bonus push","0","none","none","none","variable_bonus","","none","none","none","none","","app/_layout.tsx; DesignBriefNotificationsContext"
"Dex_home","DexCard_mount","Home load","0","Varies by streak/absence","sleeping/encouraging/happy/celebrating","dex phrases from DexCard","","none","varies","approval when happy/cel","","none","Tie tone to streak state","components/DexCard.tsx"
"SFX_inventory","payment_logged","Sucess.wav","","","","","","","","","","","","utils/SoundManager.ts"
"SFX_inventory","xp_earned","","","","","","","","","","","","Debt cleared stat pings","SoundManager"
"SFX_inventory","streak_maintained","","","","","","","","","","","","","SoundManager"
"SFX_inventory","level_up","","","","","","","","","","","","","SoundManager"
"SFX_inventory","milestone","","","","","","","","","","","","","SoundManager"
"SFX_inventory","streak_at_risk","","","","","","","","","","","","","SoundManager"
"SFX_inventory","variable_bonus","","","","","","","","","","","","","SoundManager"
"SFX_inventory","interest_saved","","","","","","","","","","","","","SoundManager"
"SFX_inventory","debt_paid_off","","","","","","","","","","","","","SoundManager"
"SFX_inventory","dex_approval_concern_surprise","","","","","","Mapped from Dex state","","","","","","SoundManager"
